player,player_id,team_name,team_id,mins_played,goals,total_shots,assists,chances_created,total_pass,accurate_pass,expected_goals
Per Mertesacker,17127,Arsenal,3,365,1,2,0,0,247,226,0.19
Peter Crouch,3773,Stoke City,110,1555,5,23,2,21,634,373,4.18
Petr Cech,11334,Arsenal,3,3040,0,0,0,0,811,530,0.0
Phil Bardsley,17997,Burnley,90,1125,0,2,0,5,417,282,0.04
Phil Foden,209244,Manchester City,43,45,0,0,1,2,44,40,0.0
Phil Jagielka,7645,Everton,11,2065,0,7,0,1,966,733,0.51
Phil Jones,76359,Manchester United,1,1975,0,2,0,2,1083,988,0.41
Philip Billing,168991,Huddersfield Town,38,760,0,7,0,2,371,281,0.2
Philippe Coutinho,84583,Liverpool,14,1116,7,54,6,40,690,544,3.51
Pierre-Emerick Aubameyang,54694,Arsenal,3,1058,10,31,4,13,317,220,8.62
Pierre-Emile Højbjerg,132015,Southampton,20,1671,0,16,0,13,1108,943,0.96
Rafael Camacho,217989,Liverpool,14,0,0,0,0,0,0,0,0.0
Ragnar Klavan,33871,Liverpool,14,1449,1,1,0,4,1198,1086,0.87
Raheem Sterling,103955,Manchester City,43,2592,18,87,11,55,1170,983,16.25
Rajiv van La Parra,51344,Huddersfield Town,38,2144,3,43,0,14,633,503,3.09
Ramadan Sobhi,205102,Stoke City,110,1234,2,13,0,15,421,324,1.24
Ramiro Funes Mori,121221,Everton,11,119,0,1,0,0,54,42,0.05
Rayhaan Tulloch,220693,West Bromwich Albion,35,0,0,0,0,0,0,0,0.0
Reece Burke,156658,West Ham United,21,0,0,0,0,0,0,0,0.0
Reece Oxford,173792,West Ham United,21,4,0,0,0,0,2,0,0.0
Reiss Nelson,200641,Arsenal,3,146,0,2,0,1,79,73,0.09
Rekeem Harper,232427,West Bromwich Albion,35,20,0,0,0,2,5,4,0.0
Renato Sanches,171319,Swansea City,80,703,0,12,0,6,379,317,0.49
Richarlison,212319,Watford,57,2827,5,95,4,26,804,514,10.28
Riyad Mahrez,103025,Leicester City,13,2960,12,73,10,58,1276,1016,6.53
Rob Holding,156074,Arsenal,3,820,0,1,0,2,603,510,0.11
Robbie Brady,90517,Burnley,90,1279,1,24,2,26,454,309,1.2
Robert Elliot,19838,Newcastle United,4,1440,0,0,0,0,491,263,0.0
Robert Green,1243,Huddersfield Town,38,0,0,0,0,0,0,0,0.0
Roberto Firmino,92217,Liverpool,14,2776,15,84,7,57,1169,849,10.66
Roberto Pereyra,61566,Watford,57,1622,5,33,2,24,676,574,3.34
Rolando Aarons,155513,Newcastle United,4,137,0,2,0,0,41,28,0.07
Romelu Lukaku,66749,Manchester United,1,2869,16,86,7,33,721,493,13.43
Roque Mesa,106899,Swansea City,80,757,0,7,0,5,486,420,0.17
Ross Barkley,88894,Chelsea,8,131,0,2,0,2,50,38,0.76
Ruben Loftus-Cheek,126187,Crystal Palace,31,1875,2,32,3,26,723,596,3.5
Ryan Bertrand,40146,Southampton,20,3136,0,20,4,36,1480,1167,1.67
Ryan Fraser,90105,Bournemouth,91,2009,5,30,3,42,816,625,1.81
Ryan Shawcross,37869,Stoke City,110,2372,1,24,1,2,665,448,2.5
Sadio Mané,110979,Liverpool,14,2206,10,70,7,49,962,773,10.76
Saido Berahino,91972,Stoke City,110,485,0,10,1,3,95,74,2.01
Salomón Rondón,57134,West Bromwich Albion,35,2771,7,79,3,23,833,557,7.02
Sam Baldock,28462,Brighton and Hove Albion,36,30,0,0,0,0,7,4,0.0
Sam Byram,113564,West Ham United,21,247,0,4,0,2,84,50,0.3
Sam Clucas,74033,Swansea City,80,2042,3,20,1,15,786,657,2.71
Sam Field,195864,West Bromwich Albion,35,539,1,5,0,4,166,126,0.54
Sam Hughes,216554,Leicester City,13,0,0,0,0,0,0,0,0.0
Sam McQueen,153373,Southampton,20,142,0,1,0,3,63,46,0.04
Sam Vokes,40399,Burnley,90,980,4,33,1,8,265,131,2.84
Sandro Ramírez,108438,Everton,11,276,0,9,0,1,82,66,0.46
Scott Arfield,39158,Burnley,90,1335,2,18,1,7,353,244,1.44
Scott Dann,19188,Crystal Palace,31,1435,1,19,0,5,566,452,2.31
Scott Malone,79733,Huddersfield Town,38,1115,0,8,1,10,493,355,0.53
Scott McTominay,195851,Manchester United,1,629,0,1,0,2,343,302,0.03
Sead Haksabanovic,198501,West Ham United,21,0,0,0,0,0,0,0,0.0
Sead Kolasinac,111457,Arsenal,3,2152,2,21,4,19,1268,1016,2.23
Sebastian Prödl,41945,Watford,57,1568,0,8,0,2,568,444,0.64
Serge Aurier,80226,Tottenham Hotspur,6,1429,2,15,2,15,776,616,0.81
Sergio Agüero,37572,Manchester City,43,1969,21,94,6,40,628,520,16.3
Sergio Romero,42899,Manchester United,1,90,0,0,0,0,20,12,0.0
Shane Duffy,61933,Brighton and Hove Albion,36,3294,0,28,1,8,1358,1039,2.3
Shane Long,20452,Southampton,20,1578,2,33,1,21,395,264,3.73
Shinji Okazaki,78412,Leicester City,13,1328,6,28,2,15,386,283,6.67
Shkodran Mustafi,69140,Arsenal,3,2274,3,13,1,7,1734,1494,0.82
Simon Francis,15149,Bournemouth,91,2707,0,13,1,27,1606,1181,0.6
Simon Mignolet,66797,Liverpool,14,1710,0,0,0,0,498,346,0.0
Sofiane Boufal,128198,Southampton,20,1213,2,30,2,21,532,418,1.66
Solly March,109345,Brighton and Hove Albion,36,1842,1,28,1,20,637,495,1.49
Son Heung-Min,85971,Tottenham Hotspur,6,2309,12,75,6,39,916,780,10.26
Stefano Okaka,20046,Watford,57,445,1,10,1,5,154,102,1.83
Stephen Ireland,20481,Stoke City,110,128,0,3,0,1,66,55,0.37
Stephen Ward,40616,Burnley,90,2462,1,6,1,16,923,638,0.34
Steve Cook,56917,Bournemouth,91,2766,2,22,1,5,1321,1001,1.62
Steve Mounie,169141,Huddersfield Town,38,1858,7,49,1,17,523,324,5.17
Steve Sidwell,11735,Brighton and Hove Albion,36,0,0,0,0,0,0,0,0.0
Steven Davis,17339,Southampton,20,1521,3,13,0,18,1044,873,0.92
Steven Defour,39847,Burnley,90,2008,1,19,1,19,1016,851,0.75
Stuart Taylor,3201,Southampton,20,0,0,0,0,0,0,0,0.0
Sullay Kaikai,138009,Crystal Palace,31,13,0,0,0,0,6,4,0.0
Séamus Coleman,59949,Everton,11,1035,0,5,1,7,357,262,1.05
Tammy Abraham,173879,Swansea City,80,1720,5,42,1,12,300,203,6.88
Tashan Oakley-Boothe,199404,Tottenham Hotspur,6,0,0,0,0,0,0,0,0.0
Terence Kongolo,109434,Huddersfield Town,38,1047,0,2,0,3,311,222,0.28
Theo Walcott,20467,Everton,11,1216,3,19,3,14,326,247,2.48
Thibaut Courtois,60772,Chelsea,8,3150,0,0,0,0,983,692,0.0
Thomas Edwards,209212,Stoke City,110,483,0,1,0,1,162,116,0.01
Tiemoué Bakayoko,169102,Chelsea,8,2124,2,40,2,16,1107,955,3.17
