,Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Recipient,Pass Recipient Name,Player Name
612,Pass,48,20,4511,26,Successful,61.5,91.7,74.4,95.8,OpenPlay,115726.0,Andrew Robertson,James Milner
613,Pass,48,22,115726,26,Successful,72.4,95.7,67.7,87.7,OpenPlay,109915.0,Sadio Mané,Andrew Robertson
614,Pass,48,28,109915,26,Successful,68.0,86.5,70.7,96.2,OpenPlay,115726.0,Andrew Robertson,Sadio Mané
615,Pass,48,31,115726,26,Successful,67.0,94.1,55.5,68.7,OpenPlay,95408.0,Virgil van Dijk,Andrew Robertson
616,Pass,48,34,95408,26,Successful,53.0,57.8,53.4,42.7,OpenPlay,136451.0,Joseph Gomez,Virgil van Dijk
617,Pass,48,38,136451,26,Successful,56.4,37.9,72,47,OpenPlay,96182.0,Roberto Firmino,Joseph Gomez
618,Pass,48,40,96182,26,Successful,70.2,45.2,74.9,38.8,OpenPlay,27586.0,David Luiz,Roberto Firmino
619,Pass,48,43,27586,13,Unsuccessful,21.6,62.4,50.9,94.8,OpenPlay,,,David Luiz
620,Pass,48,47,136451,26,Successful,38.2,3.4,18.4,28.3,OpenPlay,114147.0,Alisson,Joseph Gomez
621,Pass,48,50,114147,26,Successful,19.0,28.9,25.4,43.3,OpenPlay,95408.0,Virgil van Dijk,Alisson
622,Pass,48,54,95408,26,Successful,29.4,43.7,30.8,28.9,OpenPlay,136451.0,Joseph Gomez,Virgil van Dijk
623,Pass,48,58,136451,26,Successful,32.8,26.7,26.9,46.9,OpenPlay,95408.0,Virgil van Dijk,Joseph Gomez
624,Pass,49,0,95408,26,Successful,26.7,50.6,29.9,78.4,OpenPlay,4511.0,James Milner,Virgil van Dijk
625,Pass,49,4,4511,26,Successful,31.0,74.7,34.3,97.4,OpenPlay,115726.0,Andrew Robertson,James Milner
626,Pass,49,7,115726,26,Successful,35.1,96.5,29.4,80.5,OpenPlay,4511.0,James Milner,Andrew Robertson
627,Pass,49,13,4511,26,Successful,32.4,64.2,36.7,42.5,OpenPlay,33568.0,Georginio Wijnaldum,James Milner
628,Pass,49,14,33568,26,Successful,36.6,42.1,32.2,18,OpenPlay,136451.0,Joseph Gomez,Georginio Wijnaldum
629,Pass,49,18,136451,26,Successful,35.6,15.5,58.3,21.5,OpenPlay,108226.0,Mohamed Salah,Joseph Gomez
630,Pass,49,19,108226,26,Successful,57.0,21.3,63.4,33.8,OpenPlay,109915.0,Sadio Mané,Mohamed Salah
631,Pass,49,20,109915,26,Unsuccessful,63.5,33.4,60.3,38.8,OpenPlay,,,Sadio Mané
632,Pass,49,45,27586,13,Unsuccessful,46.2,56.1,68.9,68.8,OpenPlay,,,David Luiz
633,Pass,49,46,386969,26,Successful,28.6,29.3,36.8,35.7,OpenPlay,33568.0,Georginio Wijnaldum,Neco Williams
634,Pass,49,47,33568,26,Successful,35.5,34.7,44,39.8,OpenPlay,89401.0,Granit Xhaka,Georginio Wijnaldum
635,Pass,49,49,89401,13,Successful,54.1,65.8,38.5,69.7,OpenPlay,27586.0,David Luiz,Granit Xhaka
636,Pass,49,51,27586,13,Unsuccessful,37.7,68.6,46,69.7,OpenPlay,,,David Luiz
637,Pass,49,53,33568,26,Successful,55.1,31.8,62.7,39.2,OpenPlay,96182.0,Roberto Firmino,Georginio Wijnaldum
638,Pass,49,55,96182,26,Unsuccessful,64.4,40.8,74.2,37.1,OpenPlay,,,Roberto Firmino
639,Pass,49,57,27586,13,Successful,25.1,62.7,31.7,68.3,OpenPlay,89401.0,Granit Xhaka,David Luiz
640,Pass,49,58,89401,13,Successful,31.7,68.3,22.5,81.6,OpenPlay,255169.0,Ainsley Maitland-Niles,Granit Xhaka
641,Pass,50,2,255169,13,Successful,23.3,75.6,25.6,60.2,OpenPlay,125209.0,Mohamed Elneny,Ainsley Maitland-Niles
642,Pass,50,4,125209,13,Successful,26.2,55.9,15.7,40.8,OpenPlay,288795.0,Rob Holding,Mohamed Elneny
643,Pass,50,5,288795,13,Successful,15.0,40.9,29.8,15.4,OpenPlay,125211.0,Héctor Bellerín,Rob Holding
644,Pass,50,9,125211,13,Successful,48.4,10.7,62,26.6,OpenPlay,345845.0,Eddie Nketiah,Héctor Bellerín
645,Pass,50,11,345845,13,Successful,63.4,26.8,64.6,10.9,OpenPlay,367185.0,Bukayo Saka,Eddie Nketiah
646,Pass,50,17,367185,13,Successful,70.7,37.7,73,59.1,OpenPlay,89401.0,Granit Xhaka,Bukayo Saka
647,Pass,50,17,89401,13,Successful,73.7,62.4,75,67.4,OpenPlay,114147.0,Alisson,Granit Xhaka
648,Pass,50,25,114147,26,Successful,3.1,60.9,15.9,81.8,OpenPlay,115726.0,Andrew Robertson,Alisson
649,Pass,50,27,115726,26,Successful,19.9,89.0,56.8,96.2,OpenPlay,4511.0,James Milner,Andrew Robertson
650,Pass,50,32,4511,26,Successful,58.5,96.4,65.1,83.3,OpenPlay,109915.0,Sadio Mané,James Milner
651,Pass,50,34,109915,26,Successful,66.1,80.8,66.5,69.5,OpenPlay,102248.0,Emiliano Martínez,Sadio Mané
652,Pass,50,57,102248,13,Successful,2.8,53.2,9.1,24.2,OpenPlay,288795.0,Rob Holding,Emiliano Martínez
653,Pass,50,58,288795,13,Successful,11.8,25.8,3.8,50.3,OpenPlay,102248.0,Emiliano Martínez,Rob Holding
654,Pass,51,3,102248,13,Successful,4.3,50.1,3.7,62.7,OpenPlay,27586.0,David Luiz,Emiliano Martínez
655,Pass,51,7,27586,13,Unsuccessful,6.8,55.1,52.1,14.2,OpenPlay,,,David Luiz
656,Pass,51,10,115726,26,Unsuccessful,45.9,84.4,59.5,82.4,OpenPlay,,,Andrew Robertson
657,Pass,51,17,345845,13,Successful,55.9,43.9,69.5,78.9,OpenPlay,44120.0,Pierre-Emerick Aubameyang,Eddie Nketiah
658,Pass,51,22,44120,13,Unsuccessful,89.7,75.4,97.2,0,OpenPlay,,,Pierre-Emerick Aubameyang
659,Pass,51,51,115726,26,Successful,4.9,100.0,9.6,96.3,ThrowIn,109915.0,Sadio Mané,Andrew Robertson
660,Pass,51,52,109915,26,Successful,9.6,96.3,4.4,98.6,OpenPlay,115726.0,Andrew Robertson,Sadio Mané
661,Pass,51,53,115726,26,Unsuccessful,4.4,98.6,52,90,OpenPlay,,,Andrew Robertson
