Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,Matches,Season,nineties,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA
Héctor Bellerín,es ESP,"DF,MF",19.0,20,17,1563.0,2.0,1.0,0.0,0.0,5.0,0.0,0.12,0.06,0.17,0.12,0.17,Matches,2014/2015,17.366666666666667,,,,,,,,
Wojciech Szczęsny,pl POL,GK,24.0,17,17,1498.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2014/2015,16.644444444444446,,,,,,,,
Alex Oxlade-Chamberlain,eng ENG,MF,20.0,23,17,1490.0,1.0,1.0,0.0,0.0,4.0,0.0,0.06,0.06,0.12,0.06,0.12,Matches,2014/2015,16.555555555555557,,,,,,,,
Mathieu Flamini,fr FRA,MF,30.0,23,15,1460.0,1.0,1.0,0.0,0.0,3.0,0.0,0.06,0.06,0.12,0.06,0.12,Matches,2014/2015,16.22222222222222,,,,,,,,
Squad Total,,,,38,418,3420.0,69.0,47.0,6.0,7.0,0.0,0.0,1.82,1.24,3.05,1.66,2.89,,2014/2015,38.0,,,,,,,,
Bernd Leno,de GER,GK,26.0,32,31,2836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018/2019,31.511111111111113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shkodran Mustafi,de GER,DF,26.0,31,31,2611.0,2.0,0.0,0.0,0.0,9.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,2018/2019,29.011111111111113,1.3,1.3,0.2,0.04,0.01,0.05,0.04,0.05
Pierre-Emerick Aubameyang,ga GAB,FW,29.0,36,30,2726.0,22.0,5.0,4.0,5.0,0.0,0.0,0.73,0.17,0.89,0.59,0.76,Matches,2018/2019,30.288888888888888,20.7,16.8,4.2,0.68,0.14,0.82,0.55,0.69
Granit Xhaka,ch SUI,"MF,DF",25.0,29,29,2498.0,4.0,2.0,0.0,0.0,10.0,0.0,0.14,0.07,0.22,0.14,0.22,Matches,2018/2019,27.75555555555556,1.6,1.6,3.6,0.06,0.13,0.19,0.06,0.19
Alexandre Lacazette,fr FRA,FW,27.0,35,27,2502.0,13.0,8.0,0.0,0.0,2.0,0.0,0.47,0.29,0.76,0.47,0.76,Matches,2018/2019,27.8,11.8,11.8,2.9,0.42,0.1,0.53,0.42,0.53
Sokratis Papastathopoulos,gr GRE,DF,30.0,25,25,2198.0,1.0,2.0,0.0,0.0,12.0,0.0,0.04,0.08,0.12,0.04,0.12,Matches,2018/2019,24.422222222222217,0.8,0.8,0.5,0.03,0.02,0.05,0.03,0.05
