Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls commited,Fouls drawn,Offsides,Crosses,Interceptions,Tackles won,Penalties won,Penalties conceded,Own goals,Recoveries,Aerial Duels won,Aerial Duels lost,Aerial win %
Faustino Anjorin,eng ENG,FW,Chelsea,eng Premier League,17,2001,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Peter Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,11.8,2.0,0.0,0.0,9.0,12.0,1.0,17.0,9.0,5.0,0.0,0.0,0.0,73.0,9.0,4.0,69.2
Cristian Ansaldi,ar ARG,"DF,MF",Torino,it Serie A,32,1986,19.6,9.0,0.0,0.0,28.0,30.0,4.0,123.0,12.0,27.0,0.0,0.0,0.0,154.0,14.0,16.0,46.7
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Janis Antiste,fr FRA,MF,Toulouse,fr Ligue 1,16,2002,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Michail Antonio,eng ENG,FW,West Ham,eng Premier League,29,1990,19.6,3.0,0.0,0.0,40.0,35.0,12.0,52.0,8.0,10.0,0.0,0.0,0.0,95.0,76.0,115.0,39.8
Antoñito,es ESP,"DF,MF",Valladolid,es La Liga,31,1987,11.4,1.0,0.0,0.0,18.0,7.0,1.0,32.0,19.0,16.0,0.0,0.0,0.0,71.0,10.0,8.0,55.6
Mirko Antonucci,it ITA,"FW,MF",Roma,it Serie A,20,1999,0.9,1.0,0.0,0.0,2.0,1.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
Vitorino Antunes,pt POR,MF,Getafe,es La Liga,32,1987,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christopher Antwi-Adjei,gh GHA,"MF,FW",Paderborn 07,de Bundesliga,25,1994,27.4,2.0,0.0,0.0,16.0,40.0,4.0,47.0,11.0,20.0,0.0,0.0,0.0,170.0,24.0,37.0,39.3
Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,24,1995,2.1,1.0,0.0,0.0,3.0,5.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,25.0,2.0,5.0,28.6
Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,21,1998,21.7,3.0,0.0,0.0,24.0,42.0,2.0,21.0,11.0,19.0,0.0,0.0,0.0,137.0,15.0,13.0,53.6
Adil Aouchiche,fr FRA,MF,Paris S-G,fr Ligue 1,17,2002,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,2.0,0.0,0.0,26.0,7.0,0.0,25.0,15.0,32.0,0.0,0.0,0.0,190.0,22.0,14.0,61.1
Mauro Arambarri,uy URU,MF,Getafe,es La Liga,23,1995,34.1,11.0,1.0,1.0,79.0,63.0,0.0,32.0,26.0,49.0,0.0,0.0,0.0,447.0,63.0,73.0,46.3
Guilherme Arana,br BRA,DF,Atalanta,it Serie A,22,1997,0.9,0.0,0.0,0.0,2.0,4.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,30,1989,23.5,2.0,0.0,0.0,15.0,44.0,0.0,6.0,23.0,31.0,0.0,0.0,0.0,303.0,13.0,25.0,34.2
Luiz Araújo,br BRA,"FW,MF",Lille,fr Ligue 1,23,1996,9.2,1.0,0.0,0.0,13.0,23.0,0.0,20.0,5.0,9.0,1.0,0.0,0.0,77.0,6.0,8.0,42.9
Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,10.0,0.0,0.0,27.0,10.0,0.0,2.0,38.0,27.0,0.0,0.0,0.0,278.0,91.0,36.0,71.7
Ronald Araújo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,18.0,5.0,3.0,62.5
Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,5.0,0.0,0.0,22.0,12.0,0.0,18.0,15.0,20.0,0.0,0.0,0.0,319.0,56.0,28.0,66.7
Alphonse Areola,fr FRA,GK,Real Madrid,es La Liga,26,1993,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,0.0,0.0,0.0
Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,26,1993,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12.0,1.0,0.0,0.0,8.0,16.0,1.0,36.0,9.0,17.0,0.0,0.0,0.0,104.0,21.0,20.0,51.2
Nicolò Armini,it ITA,DF,Lazio,it Serie A,18,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Stuart Armstrong,sco SCO,MF,Southampton,eng Premier League,27,1992,19.1,4.0,0.0,0.0,26.0,20.0,4.0,14.0,9.0,25.0,0.0,0.0,0.0,169.0,10.0,29.0,25.6
José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,24,1995,8.8,2.0,0.0,0.0,11.0,17.0,5.0,6.0,5.0,3.0,0.0,0.0,0.0,46.0,8.0,25.0,24.2
