Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen touches,Def 3rd touches,Mid 3rd touches,Att 3rd touches,Touches in Box,Live ball touches,Successful Dribbles,Attempted Dribbles,Successful Dribble %,Players dribbled past,Megs,Carries,Total Distance carries,ProgDist carries,Pass Targets,Passes Received,Passes Received %,Miscon,Passes Dispossed
Che Adams,eng ENG,FW,Southampton,eng Premier League,23,1996,12.3,441.0,10.0,35.0,204.0,235.0,68.0,433.0,15.0,27.0,55.6,15.0,1.0,308.0,1841.0,847.0,657.0,315.0,47.9,44.0,29.0
Tyler Adams,us USA,"DF,MF",RB Leipzig,de Bundesliga,20,1999,10.6,813.0,20.0,206.0,453.0,196.0,13.0,737.0,6.0,11.0,54.5,6.0,0.0,501.0,2484.0,1118.0,602.0,554.0,92.0,9.0,13.0
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,26,1993,8.3,309.0,7.0,29.0,134.0,164.0,46.0,297.0,11.0,24.0,45.8,13.0,0.0,206.0,1591.0,834.0,404.0,212.0,52.5,25.0,20.0
Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,7.0,4.0,6.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,1.0,1.0,100.0,0.0,0.0
Bobby Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.1,70.0,0.0,9.0,35.0,30.0,13.0,68.0,4.0,4.0,100.0,4.0,0.0,54.0,410.0,241.0,82.0,50.0,61.0,5.0,4.0
Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,112.0,14.0,35.0,52.0,37.0,7.0,98.0,1.0,3.0,33.3,2.0,0.0,66.0,440.0,214.0,76.0,63.0,82.9,5.0,1.0
Amine Adli,fr FRA,"MF,FW",Toulouse,fr Ligue 1,19,2000,0.5,33.0,0.0,3.0,20.0,14.0,1.0,28.0,3.0,4.0,75.0,3.0,0.0,25.0,259.0,144.0,26.0,23.0,88.5,3.0,1.0
Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,19,2000,11.3,735.0,13.0,73.0,512.0,210.0,13.0,695.0,24.0,42.0,57.1,28.0,3.0,554.0,3296.0,1986.0,612.0,549.0,89.7,27.0,32.0
Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,338.0,301.0,338.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0,163.0,641.0,355.0,155.0,154.0,99.4,0.0,0.0
Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,38,1981,2.3,82.0,2.0,7.0,39.0,39.0,11.0,81.0,2.0,2.0,100.0,2.0,0.0,33.0,147.0,46.0,117.0,64.0,54.7,4.0,2.0
Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,1182.0,82.0,387.0,537.0,333.0,14.0,964.0,26.0,45.0,57.8,30.0,0.0,701.0,4849.0,2641.0,665.0,599.0,90.1,22.0,18.0
