Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals,Shots,Shots on Target,Shots on Target %,Shots Total p90,Shots on Target p90,Goals per shot,Goals per shot on target,Shots from Free Kicks,Penalty Kicks scored,Penalty Kicks attempted,xG,Non-penalty xG,npxG/Sh,G-xG,np:G-xG
Bastos,ao ANG,DF,Lazio,it Serie A,27,1991,12.7,1.0,12.0,3.0,25.0,0.95,0.24,0.08,0.33,0.0,0.0,0.0,0.9,0.9,0.08,0.1,0.1
Michy Batshuayi,be BEL,FW,Crystal Palace,eng Premier League,24,1993,8.3,5.0,26.0,10.0,38.5,3.12,1.2,0.19,0.5,0.0,0.0,0.0,3.5,3.5,0.14,1.5,1.5
Michy Batshuayi,be BEL,FW,Valencia,es La Liga,24,1993,5.9,1.0,18.0,7.0,38.9,3.07,1.2,0.06,0.14,0.0,0.0,0.0,2.3,2.3,0.13,-1.3,-1.3
Robert Bauer,de GER,DF,Nürnberg,de Bundesliga,23,1995,19.1,0.0,9.0,1.0,11.1,0.47,0.05,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2
Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,28,1990,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Timo Baumgartl,de GER,DF,Stuttgart,de Bundesliga,22,1996,18.0,1.0,3.0,2.0,66.7,0.17,0.11,0.33,0.5,0.0,0.0,0.0,0.2,0.2,0.07,0.8,0.8
Julian Baumgartlinger,at AUT,MF,Leverkusen,de Bundesliga,30,1988,17.3,0.0,10.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.09,-0.9,-0.9
Christoph Baumgartner,at AUT,MF,Hoffenheim,de Bundesliga,18,1999,0.9,0.0,2.0,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1
Jon Bautista,es ESP,FW,Real Sociedad,es La Liga,23,1995,6.6,1.0,19.0,5.0,26.3,2.86,0.75,0.05,0.2,0.0,0.0,0.0,2.5,2.5,0.13,-1.5,-1.5
Paul Baysse,fr FRA,DF,Bordeaux,fr Ligue 1,30,1988,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Baysse,fr FRA,DF,Caen,fr Ligue 1,30,1988,19.9,0.0,13.0,3.0,23.1,0.65,0.15,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,-1.0,-1.0
Noah Joel Sarenren Bazee,ng NGA,FW,Hannover 96,de Bundesliga,21,1996,1.7,0.0,5.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.08,-0.4,-0.4
Claudio Beauvue,GPE,FW,Caen,fr Ligue 1,30,1988,16.7,3.0,40.0,13.0,32.5,2.4,0.78,0.05,0.15,0.0,1.0,1.0,4.7,4.0,0.1,-1.7,-2.0
Bebé,pt POR,"FW,MF",Rayo Vallecano,es La Liga,28,1990,14.5,1.0,57.0,12.0,21.1,3.94,0.83,0.02,0.08,2.0,0.0,0.0,1.7,1.7,0.03,-0.7,-0.7
Bebé,pt POR,MF,Eibar,es La Liga,28,1990,0.7,0.0,3.0,2.0,66.7,4.35,2.9,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.06,-0.2,-0.2
Ihlas Bebou,tg TOG,"FW,MF",Hannover 96,de Bundesliga,24,1994,11.8,4.0,29.0,10.0,34.5,2.45,0.84,0.1,0.3,2.0,1.0,1.0,4.3,3.6,0.12,-0.3,-0.6
