Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes Completed,Passes Attempted,Pass Completion %,TotDist,PrgDist,Short Passes Completed,Short Passes Attempted,Short Pass Completion %,Medium Passes Completed,Medium Passes Attempted,Medium Pass Completion %,Long Passes Completed,Long Passes Attempted,Long Pass Completion %,Assists,xA,A-xA,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes
Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,1149.0,1403.0,81.9,26106.0,8436.0,11.0,24.0,45.8,719.0,797.0,90.2,419.0,582.0,72.0,0.0,0.5,-0.5,3.0,72.0,8.0,3.0,94.0
Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,1096.0,1312.0,83.5,30909.0,10181.0,7.0,17.0,41.2,501.0,568.0,88.2,588.0,727.0,80.9,0.0,0.5,-0.5,7.0,73.0,5.0,1.0,89.0
Steven Alzate,co COL,"MF,DF",Brighton,eng Premier League,20,1998,13.2,564.0,664.0,84.9,8968.0,2602.0,11.0,28.0,39.3,492.0,553.0,89.0,61.0,83.0,73.5,0.0,0.7,-0.7,13.0,32.0,16.0,2.0,64.0
Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,eng Premier League,26,1993,8.4,310.0,361.0,85.9,6355.0,1786.0,2.0,6.0,33.3,219.0,244.0,89.8,89.0,111.0,80.2,0.0,0.0,0.0,1.0,14.0,1.0,0.0,11.0
Ibrahim Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,231.0,292.0,79.1,3864.0,785.0,4.0,12.0,33.3,192.0,225.0,85.3,35.0,55.0,63.6,0.0,0.0,0.0,1.0,17.0,1.0,1.0,15.0
Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,700.0,892.0,78.5,14195.0,4183.0,12.0,32.0,37.5,495.0,573.0,86.4,193.0,287.0,67.2,1.0,0.9,0.1,8.0,83.0,13.0,1.0,93.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amath,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,12.0,17.0,70.6,201.0,65.0,0.0,3.0,0.0,11.0,12.0,91.7,1.0,2.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24.0,983.0,1222.0,80.4,17616.0,6119.0,19.0,49.0,38.8,787.0,908.0,86.7,177.0,265.0,66.8,1.0,1.4,-0.4,14.0,46.0,16.0,8.0,111.0
Thierry Ambrose,fr FRA,FW,Metz,fr Ligue 1,22,1997,6.1,140.0,193.0,72.5,2513.0,752.0,3.0,11.0,27.3,111.0,139.0,79.9,26.0,43.0,60.5,0.0,0.5,-0.5,11.0,20.0,7.0,3.0,20.0
Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,551.0,669.0,82.4,9532.0,3663.0,14.0,31.0,45.2,444.0,484.0,91.7,93.0,154.0,60.4,2.0,0.4,1.6,3.0,36.0,8.0,2.0,91.0
Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,22,1996,20.6,906.0,1149.0,78.9,16090.0,4293.0,33.0,66.0,50.0,686.0,776.0,88.4,187.0,307.0,60.9,2.0,5.9,-3.9,54.0,73.0,23.0,6.0,140.0
